businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,websiteUrl,Image 1,Image 2,Image 3,category
Jazeera Halal Market,(510) 263-9058,"1525 Webster Street, Alameda",Alameda,California,94501,United States,"1525 Webster St, Alameda, CA 94501, USA",37.7741417,-122.2769405,http://www.jazeeramarket.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/a+1950s+grocery+store.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/in+a+grocery+store.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/grocery+collage+poster.png,Grocery
Namaste,,"27131 Aliso Creek Road Ste 150, Aliso Viejo",Aliso Viejo,California,92656,United States,"27131 Aliso Creek Rd Ste 150, Aliso Viejo, CA 92656, USA",33.5675875,-117.7242819,http://www.namastebites.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+gyros+fast+food+in+flatbread%2C+lettuce%2C+tomatoes%2C+onions%2C+rolled%2C+isolated%2C+generative+ai.png,Restaurant
Indian Vegetarian Tiffin Service,(916) 743-5024,"7714 Bradshaw Road, Sacramento",Sacramento,California,95829,United States,"7714 Bradshaw Rd, Sacramento, CA 95829, USA",38.4783954,-121.3372461,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,Home service
India Appliances,(562) 402-3392,"18634 Pioneer Boulevard, Artesia",Artesia,California,90701,United States,"18634 Pioneer Blvd, Artesia, CA 90701, USA",33.861864,-118.0820072,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,Home service
"Sidhu Truck Line, Inc.",(661) 735-1111,"4711 Commercial Street, Bakersfield",Bakersfield,California,93308,United States,"4711 Commercial St, Bakersfield, CA 93308, USA",35.3803848,-119.0552005,http://www.sidhutruckline.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-alexander-112080889-9739039.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-ibnulharezmi-5410923.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-robertkso-18468412.jpg,Truck
SK Indian Food,(661) 569-2253,"7500 Rosedale Highway, Bakersfield",Bakersfield,California,93308,United States,"7500 Rosedale Hwy, Bakersfield, CA 93308, USA",35.3844161,-119.0861731,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+biryani+on+plate.png,Restaurant
AD Infosystem LLC,(562) 916-3390,"15859 East Edna Place, Irwindale",Irwindale,California,91706,United States,"15859 E Edna Pl, Irwindale, CA 91706, USA",34.0928179,-117.9350698,https://www.adinfosystem.com/contact.html,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
VEC Indian Cuisine,(707) 557-5460,"4380 Sonoma Boulevard, Vallejo",Vallejo,California,94589,United States,"4380 Sonoma Blvd, Vallejo, CA 94589, USA",38.1368748,-122.255063,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%2C+kerala+appam%2C+top-view%2C+indian+food%2C+gold+plate%2C+photo-realistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish+%2C+realistic+photo+%2C+high+resolution.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+momos%2C+scattared%2C+top+view%2C+circle+plate%2C+studio+shot%2C+realistic.webp,Restaurant
Himalayan Flavors,(510) 704-0174,"1585 University Avenue, Berkeley",Berkeley,California,94703,United States,"1585 University Ave, Berkeley, CA 94703, USA",37.8708193,-122.2805162,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+a+plate+filled+with+luscious+Gulab+Jamun+in+a+vibrant+Diwali+setting)%2C+Diwali%2C+Indian+Sweets%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+vegan+Quinoa+Food+Photo%2C+AI+Generative.png,Restaurant
Shehnai Cuisine of India,(714) 990-8989,"705 East Birch Street P, Brea",Brea,California,92821,United States,"705 E Birch St P, Brea, CA 92821, USA",33.9184522,-117.8901057,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(1).png,Restaurant
Indian Masala House,(818) 578-6564,"17934 Ventura Boulevard, Encino",Los Angeles,California,91316,United States,"17934 Ventura Blvd, Encino, CA 91316, USA",34.163849,-118.523403,http://www.masalaencino.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(2).png,Restaurant
India Sweet House,(323) 934-5193,"5992 Pico Boulevard West, Los Angeles",Los Angeles,California,90035,United States,"5992 Pico Blvd W, Los Angeles, CA 90035, USA",34.0521663,-118.370822,http://isweethouse.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%5B4974394044%5D+simple+daal+illustration+with+yellow+lentils.+cozy.+vegan.+minimalist.+thick+pen.+with+lots+of+green.+square.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+cuisine+food+on+white+background%2C+ultra+realistic%2C+photography%2C+raw%2C+8k.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(3).png,Restaurant
Indian Bento,(415) 970-8100,"69 Dorman Avenue, San Francisco",San Francisco,California,94124,United States,"69 Dorman Ave, San Francisco, CA 94124, USA",37.7393473,-122.4034258,https://eat.indianbento.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3d+modeling+indian+daal+tadaka+%2Cclose+up%2C+16k%2C+super+high+definition%2C+HD%2C+shot+with+nikon.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+dal+chawal+in+a+takeaway%2C+Indian+Food.+Green%2C+white%2C+black%2C+ui%2C+ux%2C+ui_ux+%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes.png,Restaurant
Silva's House Cleaning,(707) 265-3004,"1161 Westview Drive, Napa",Napa,California,94590,United States,"1161 Westview Dr, Napa, CA 94590, USA",38.314238,-122.3319894,http://www.silvashouse.com/contact/,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,Home service
Indian Thali Tiffin & Catering Service,(650) 695-3162,"454 West Emerson Avenue, Tracy",Tracy,California,95376,United States,"454 W Emerson Ave, Tracy, CA 95376, USA",37.7485637,-121.4327278,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
Akshar Home Made Foods,(480) 330-5490,"1222 El Camino Real apt b, Colma",Colma,California,94014,United States,"1222 El Camino Real apt b, Colma, CA 94014, USA",37.6751957,-122.4570838,https://www.akshartiffins.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
Curry Craft - Indian Restaurant & Catering Services,(760) 299-7972,"689 South Rancho Santa Fe Road, San Marcos",San Marcos,California,92078,United States,"689 S Rancho Santa Fe Rd, San Marcos, CA 92078, USA",33.1316922,-117.2064478,https://currycraftsd.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Dhokla+or+sandwich+dhokla+_+Indian+savory+snacks+made+of+chick+pea+flour+or+rice+flour%2C+selective+focus+stock+photo+Asia%2C+Breakfast%2C+Cheese%2C+Cooked%2C+Food.png,Restaurant
Tandoori House - Indian Restaurant & Catering Services,(619) 567-2757,"3146 Midway Drive, San Diego",San Diego,California,92110,United States,"3146 Midway Dr, San Diego, CA 92110, USA",32.7505373,-117.2079715,https://www.tandoorihousesd.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/3D+pixar+animation%2C+An+indian+village+food.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+dish+butter+chicken+as+a+food+styling+shot.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/dnd+style+sandwich.png,Restaurant
DIYA Indian and Nepali Cuisine,(415) 644-8776,"25 Mason Street, San Francisco",San Francisco,California,94102,United States,"25 Mason St, San Francisco, CA 94102, USA",37.783536,-122.4094065,http://diyasf.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+momos+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+family+in+a+restaurant+enjoying+food+and+making+memories.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/donuts%2C+look+tasty%2C+cooking%2C+high+accuracy+of+eating+and+image%2C+food%2C+detail%2C+commercial+photography%2C+focus+on+food%2C+different+camera+position.png,Restaurant
Himalayan Tandoori & Curry House,(707) 824-1800,"969 Gravenstein Highway South, Sebastopol",Sebastopol,California,95472,United States,"969 Gravenstein Hwy S, Sebastopol, CA 95472, USA",38.391101,-122.8164222,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/4k+picture+of+Indian+food+pani+puri+background+black.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+festival+makar+sankranti+special+haldi+kumkum+with+sankranti+sweets+of+jaggery+recipes%2C+til+ladoo%2C+peanut+chikki%2C+til+chikki%2C+rajgira+laddu.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Curry+Sauce%2C+Indian+food+Photography.png,Restaurant
Himalayan Grill & Dosa,(707) 665-0644,"5306 Old Redwood Highway North, Petaluma",Petaluma,California,94954,United States,"5306 Old Redwood Hwy N, Petaluma, CA 94954, USA",38.275986,-122.6680522,https://www.himalayanpetaluma.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+breakfast+with+kosher+food+photorealistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography+(2).png,Restaurant
Shalimar Cuisine of India,(310) 839-2841,"10708 Jefferson Boulevard, Culver City",Culver City,California,90230,United States,"10708 Jefferson Blvd, Culver City, CA 90230, USA",34.002375,-118.3924255,http://www.shalimarla.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+golden+pot+having+swwet+indian+food+like+sweet+milke.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Fish+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Easy+Two-Ingredient+Naan%2C+Indian+food+Photography.png,Restaurant
I.C.S. - India Coffee and Snacks,(909) 396-0350,"23371 Golden Springs Drive, Diamond Bar",Diamond Bar,California,91765,United States,"23371 Golden Springs Dr, Diamond Bar, CA 91765, USA",34.018326,-117.811348,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+photograph+of+a+smiling+Zulu+woman+in+a+fast+food+uniform+standing+behind+a+fast+food+counter%2C+steamed+dumplings.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/eggless+mayonnaise+veg+roll%2Cside+view.png,Restaurant
"Dinuba House Movers, Inc.",(559) 591-0173,"40508 Road 84, Dinuba",Dinuba,California,93618,United States,"40508 Rd 84, Dinuba, CA 93618, USA",36.5260042,-119.3854547,http://www.dhm-inc.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,Home service
Dos Palos Internet Service,(209) 392-1962,"2218 Blossom Street, Dos Palos",Dos Palos,California,93620,United States,"2218 Blossom St, Dos Palos, CA 93620, USA",36.9863695,-120.6308953,http://dospalos.org,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,Home service
Jay Bharat Foods LLC,(562) 205-1234,"7871 Paramount Boulevard, Pico Rivera",Pico Rivera,California,90660,United States,"7871 Paramount Blvd, Pico Rivera, CA 90660, USA",33.9741931,-118.1128788,https://shop.jaybharat.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
Fatima's Grill,(562) 659-7585,"7840 Firestone Boulevard, Downey",Downey,California,90241,United States,"7840 Firestone Blvd, Downey, CA 90241, USA",33.9440111,-118.1407806,https://order.fatimas-grill.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+plate+decorated+by+the+food+items%2C+indian+cuisine.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C+(3).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Emerging+Food+%26amp_+Beverage+Trends+2021_+AI+Reduces+This+Year%26%23039_s+Unpredictability%2C.png,Restaurant
Wah Tiffin,(510) 800-8945,"132 State Street, Los Altos",Los Altos,California,94022,United States,"132 State St, Los Altos, CA 94022, USA",37.3801424,-122.1156664,https://wahtiffin.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
Chaat House Sunnyvale,(408) 733-1111,"939 West El Camino Real, Sunnyvale",Sunnyvale,California,94087,United States,"939 W El Camino Real, Sunnyvale, CA 94087, USA",37.371699,-122.0457481,http://www.chaathouse.us/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/a+real+4k+image+of+a+bowl+with+daal+makhni+in+it+covered+with+melted+cheese.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/indian+flag+art%2C+food%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/erated+im+street+food.png,Restaurant
